1529998586.778,,,57.9638671875,
1529998586.792,,,,-25.0048828125
1529998586.805,-29.794921875,,,
1529998586.818,,39.990234375,,
1529998586.835,,,57.9638671875,
1529998586.849,,,57.9638671875,
1529998587.16,,,57.7001953125,
1529998587.473,,,57.4365234375,
1529998587.787,,,57.2607421875,
1529998588.101,,,57.1728515625,
1529998588.413,,,57.0849609375,
1529998588.725,,,57.0849609375,
1529998589.037,,,57.041015625,
1529998589.35,,,57.041015625,
1529998589.662,,,56.9970703125,
1529998589.678,,,56.9970703125,
1530032262.103,,,56.9970703125,
1530032262.116,,,,-25.0048828125
1530032262.129,-29.794921875,,,
1530032262.143,,39.990234375,,
1530032333.325,,,56.9970703125,
1530032333.337,,,,-25.0048828125
1530032333.353,-29.794921875,,,
1530032333.365,,39.990234375,,
1530032391.442,,,56.9970703125,
1530032391.456,,,,-25.0048828125
1530032391.47,-29.794921875,,,
1530032391.482,,39.990234375,,
1530032441.897,,,56.9970703125,
1530032441.909,,,,-25.0048828125
1530032441.922,-29.794921875,,,
1530032441.934,,39.990234375,,
1530032490.562,,,56.9970703125,
1530032490.575,,,,-25.0048828125
1530032490.589,-29.794921875,,,
1530032490.601,,39.990234375,,
1530032534.131,,,56.9970703125,
1530032534.143,,,,-25.0048828125
1530032534.156,-29.794921875,,,
1530032534.169,,39.990234375,,
1530032576.176,,,56.9970703125,
1530032576.188,,,,-25.0048828125
1530032576.201,-29.794921875,,,
1530032576.214,,39.990234375,,
1530032606.86,,,56.9970703125,
1530032606.872,,,,-25.0048828125
1530032606.885,-29.794921875,,,
1530032606.899,,39.990234375,,
1530032647.028,,,56.9970703125,
1530032647.042,,,,-25.0048828125
1530032647.055,-29.794921875,,,
1530032647.069,,39.990234375,,
1530032684.523,,,56.9970703125,
1530032684.536,,,,-25.0048828125
1530032684.553,-29.794921875,,,
1530032684.565,,39.990234375,,
1530032723.18,,,56.9970703125,
1530032723.193,,,,-25.0048828125
1530032723.207,-29.794921875,,,
1530032723.22,,39.990234375,,
1530032758.521,,,56.9970703125,
1530032758.534,,,,-25.0048828125
1530032758.548,-29.794921875,,,
1530032758.563,,39.990234375,,
1530032797.518,,,56.9970703125,
1530032797.53,,,,-25.0048828125
1530032797.542,-29.794921875,,,
1530032797.555,,39.990234375,,
1530032836.402,,,56.9970703125,
1530032836.415,,,,-25.0048828125
1530032836.427,-29.794921875,,,
1530032836.44,,39.990234375,,
1530032879.198,,,56.9970703125,
1530032879.21,,,,-25.0048828125
1530032879.222,-29.794921875,,,
1530032879.234,,39.990234375,,
1530032921.614,,,56.9970703125,
1530032921.626,,,,-25.0048828125
1530032921.638,-29.794921875,,,
1530032921.65,,39.990234375,,
1530032962.99,,,56.9970703125,
1530032963.002,,,,-25.0048828125
1530032963.018,-29.794921875,,,
1530032963.031,,39.990234375,,
1530033005.828,,,56.9970703125,
1530033005.84,,,,-25.0048828125
1530033005.853,-29.794921875,,,
1530033005.865,,39.990234375,,
1530033041.956,,,56.9970703125,
